ID,Side,Módulo,Tipo Regresión,Caso de Test,Precondición,Pasos,Resultado Esperado,Prioridad,Estado
REG-011,TENANT,core-engine / Nodes,[DIRECTA],Nodo Schedule trigger inicia flow en tiempo configurado,Flow con trigger Schedule configurado,Login > Boards > Flow con trigger Schedule > Verificar ejecución automática > Revisar historial,Flow se dispara automáticamente en horario configurado sin errores (IONF-680),🔴 Crítico,⬜ Pendiente
REG-012,TENANT,core-engine / Nodes,[DIRECTA],Nodo con recursividad no provoca loop infinito,Flow con nodos entrelazados (potencial recursividad),Login > Boards > Flow con nodos recursivos > Ejecutar > Verificar que termina correctamente,Motor maneja recursividad sin loop infinito ni cuelgue (IONF-406),🔴 Crítico,⬜ Pendiente
REG-013,TENANT,boards,[DIRECTA],Crear y guardar un flow nuevo,Usuario autenticado sin flows existentes,Login > Sidebar: Boards > New Board > Ingresar nombre > Guardar > Verificar en lista,Flow creado en lista y URL actualizada con su ID (IONF-899),🔴 Crítico,⬜ Pendiente
REG-014,TENANT,boards,[DIRECTA],Motor de versionamiento Git — commit de cambios,Flow existente con cambios en el canvas,Login > Boards > Abrir flow > Canvas: modificar nodo > Guardar > Save Version > Verificar historial,Cambio guardado como commit en historial de versiones (IONF-419),🔴 Crítico,⬜ Pendiente
REG-015,TENANT,boards,[DIRECTA],Restaurar flow mediante Git (discard changes),Flow existente con al menos 2 versiones,Login > Boards > Abrir flow > Canvas: hacer cambio > Restore > Seleccionar versión anterior > Confirmar,Flow vuelve al estado de versión seleccionada sin pérdida de datos (IONF-482),🔴 Crítico,⬜ Pendiente
REG-016,TENANT,boards,[DIRECTA],Ejecutar flow en modo Development step-by-step,Flow con al menos 2 nodos conectados,Login > Boards > Abrir flow > Canvas: modo Development > Ejecutar trigger > Avanzar nodo por nodo,Flow ejecuta nodo a nodo mostrando output de cada uno en tiempo real (IONF-379),🔴 Crítico,⬜ Pendiente
REG-017,TENANT,boards,[DIRECTA],Importar un flow desde archivo JSON/YAML,Archivo de flow válido para importar,Login > Boards > Import Flow > Seleccionar archivo > Confirmar > Verificar en lista,Flow importado correctamente con todos sus nodos y conexiones (IONF-530),🟠 Alto,⬜ Pendiente
REG-018,TENANT,boards,[DIRECTA],Vista de gitdiff no sobrecarga el browser,Flow con historial de versiones largo,Login > Boards > Abrir flow > Toolbar: Git Diff > Navegar entre versiones > Verificar rendimiento,Vista carga sin lag excesivo ni crash del browser (IONF-522),🟡 Medio,⬜ Pendiente
REG-019,TENANT,boards,[DIRECTA],URL del board se actualiza al crearlo,Flow recién creado,Login > Boards > New Board > Nombrar y guardar > Verificar URL > Refrescar > Verificar persistencia,URL actualizada al ID del board y persiste al refrescar (IONF-899),🟠 Alto,⬜ Pendiente
REG-020,KC,auth,[DIRECTA],Login SSO con Keycloak — flujo completo,Entorno con Keycloak configurado y usuario válido,Navegar a /login > Login with SSO > Keycloak: credenciales > Callback > Seleccionar company,Usuario accede con permisos correctamente vía Keycloak (IONF-362 IONF-1074),🔴 Crítico,⬜ Pendiente
REG-021,TENANT,auth,[DIRECTA],Refresh token funciona automáticamente,Usuario logueado con sesión a punto de expirar,Login > Sesión cerca de expirar > GET a la API > Verificar renovación sin re-login,Token renovado automáticamente. Acción continúa exitosamente (IONF-165),🔴 Crítico,⬜ Pendiente
REG-022,ADMIN,auth,[DIRECTA],Usuario inicial de company tiene todos los permisos,Company recién creada,Admin > Companies > Crear nueva company > Verificar permisos del usuario inicial,Usuario inicial tiene todos los permisos sin intervención manual (IONF-763),🟠 Alto,⬜ Pendiente
REG-023,KC,auth,[DIRECTA],Fix login con Keycloak en diferentes dominios,Entorno con múltiples subdominios,Login desde dominio A > Segunda pestaña dominio B > Verificar SSO cross-domain,Login funciona correctamente en cualquier dominio configurado (IONF-543),🟠 Alto,⬜ Pendiente
REG-024,ADMIN,auth,[DIRECTA],Permisos de usuario sin inconsistencias en UI,Usuario con múltiples roles,Admin > Companies > Company > Users > Usuario > Ver permisos,Permisos sin elementos duplicados ni estilos incorrectos (IONF-764),🟡 Medio,⬜ Pendiente
REG-025,TENANT,connections,[DIRECTA],Crear App Connector manual — happy path,Usuario con permiso CREATE_APP,Login > Sidebar: Connections > New App > Tipo Manual > Completar nombre y categoría > Guardar,Connector creado y visible en lista de connections (IONF-116),🟠 Alto,⬜ Pendiente
REG-026,TENANT,connections,[DIRECTA],Editar nombre de App Módulo y Connection,App Connector existente con módulos y conexiones,Login > Connections > Seleccionar connector > Editar nombre App > Guardar > Editar módulo > Guardar,Nombres actualizados sin errores de duplicado (IONF-146 IONF-327),🟠 Alto,⬜ Pendiente
REG-027,TENANT,connections,[DIRECTA],Basic Auth y API Key en GET request funcionan,App Connector con Basic Auth configurado,Login > Connections > Connector con Basic Auth > Crear conexión > Canvas: nodo GET > Ejecutar,Request GET ejecuta correctamente con credenciales Basic Auth/API Key (IONF-141),🔴 Crítico,⬜ Pendiente
REG-028,TENANT,connections,[DIRECTA],Configurar Custom App sin errores,Usuario con permiso CREATE_APP,Login > Connections > New App > Tipo Custom > Completar configuración OAuth > Guardar,Custom App configurada sin errores de validación (IONF-517),🟠 Alto,⬜ Pendiente
REG-029,ADMIN GATEWAY,connections,[DIRECTA],Unificación de endpoints de Grapps funciona,GRAPP existente configurado,Admin > Apps > Seleccionar GRAPP > Instalar en company de prueba via endpoint unificado,Proceso usa endpoint unificado sin errores de routing (IONF-103),🟠 Alto,⬜ Pendiente
REG-030,TENANT,connections,[DIRECTA],Activar/desactivar channels en bulk,Lista de Apps con múltiples connections,Login > Connections > Seleccionar múltiples apps > Acción bulk Enable/Disable > Verificar estados,Todas las apps cambian su estado en una sola acción (IONF-642),🟡 Medio,⬜ Pendiente
REG-031,TENANT,data-store,[DIRECTA],Crear Data Store y Data Structure,Usuario con permiso READ_DATA_STORE,Login > Sidebar: Data Store > New Data Store > Definir nombre y estructura > Guardar,Data Store creado con estructura. Modal no conserva datos anteriores (IONF-159),🟠 Alto,⬜ Pendiente
REG-032,TENANT,data-store,[DIRECTA],Nodo Persistent Data Save + Get en un flow,Flow con nodos Store Add y Store Get configurados,Login > Boards > Ejecutar flow: nodo Add guarda registro > nodo Get recupera mismo registro,Registro guardado y recuperado correctamente sin solapamiento de datos (IONF-162),🔴 Crítico,⬜ Pendiente
REG-033,TENANT,data-store,[DIRECTA],Visualización de datos del Data Store,Data Store con registros guardados,Login > Sidebar: Data Store > Seleccionar Data Store > View Data,Datos mostrados sin solapamientos ni datos de otras sesiones (IONF-163),🟠 Alto,⬜ Pendiente
REG-034,TENANT,data-store,[DIRECTA],8 nodos de Data Storage disponibles en canvas,Canvas abierto,Login > Boards > Abrir flow > Canvas: panel de nodos > Buscar Persistent Data > Verificar 8 tipos,Los 8 nodos (Save Update Get Delete Check Count Delete All Search) disponibles (IONF-552),🟠 Alto,⬜ Pendiente
REG-035,TENANT,webhooks,[DIRECTA],Webhook trigger inicia flow correctamente,Flow con trigger Webhook activo,Login > Webhooks > Copiar URL > POST con payload JSON > Revisar historial,Flow disparado con payload recibido sin errores de content-type (IONF-786),🔴 Crítico,⬜ Pendiente
REG-036,TENANT,webhooks,[DIRECTA],Nodo Webhook Response retorna body configurado,Flow con nodo Webhook Response,Login > Boards > Flow con nodo Webhook Response > Configurar body y status code > Ejecutar via webhook,Response retorna body y status code configurados correctamente (IONF-449),🟠 Alto,⬜ Pendiente
REG-037,TENANT,webhooks,[DIRECTA],GRAPP soporta webhooks correctamente,GRAPP instalado con webhook configurado,Admin > Apps > GRAPP > Webhooks > Configurar > Activar > Enviar evento externo,Webhook del GRAPP activa el flow asociado (IONF-695),🟠 Alto,⬜ Pendiente
REG-038,TENANT,canvas / ux-ui,[DIRECTA],Canvas sin doble scroll ni desborde de componentes,Flow con múltiples nodos,Login > Boards > Abrir flow 10+ nodos > Scrollear canvas horizontal y verticalmente,Un único scroll sin desborde de componentes en los nodos (IONF-509),🟡 Medio,⬜ Pendiente
REG-039,TENANT,canvas / ux-ui,[DIRECTA],Nodo Form muestra nested elements y advance fields,Flow con nodo Form con campos anidados,Login > Boards > Abrir flow > Canvas: clic en nodo Form > Drawer: verificar campos anidados y advanced,Campos anidados y avanzados renderizados correctamente (IONF-313),🟡 Medio,⬜ Pendiente
REG-040,TENANT,canvas / ux-ui,[DIRECTA],Confirmación de cambios no guardados al salir,Flow con cambios sin guardar,Login > Boards > Abrir flow > Canvas: modificar nodo sin guardar > Intentar navegar a otra sección,Aparece modal de confirmación antes de salir (IONF-147),🟡 Medio,⬜ Pendiente
REG-041,TENANT,canvas / ux-ui,[DIRECTA],Modales de confirmación para eliminación,Flow connector o data store existente,Login > Sidebar: [Módulo] > Acción Delete,Aparece modal de confirmación. Colores del modal correctos no invertidos (IONF-281),🟡 Medio,⬜ Pendiente
REG-042,TENANT,canvas / ux-ui,[DIRECTA],IDs de nodos se reinician correctamente,Flow con nodos eliminados y nuevos,Login > Boards > Abrir flow > Canvas: 3 nodos > eliminar 2do > agregar nuevo > verificar IDs,Secuencia de IDs consistente sin saltos incorrectos (IONF-512),🟡 Medio,⬜ Pendiente
REG-043,ADMIN,admin / company,[DIRECTA],Vista de configuración de Company disponible,Company existente,Login Admin > Admin: Companies > Seleccionar company > Ver configuración,Vista carga y permite editar configuración de la company (IONF-506),🟡 Medio,⬜ Pendiente
REG-044,ADMIN,admin / company,[DIRECTA],Seeders de apps disponibles en catálogo,Entorno dev/preproducción,Admin Gateway > Apps > Verificar apps seedeadas,Apps seedeadas disponibles sin crearlas manualmente (IONF-507),🟡 Medio,⬜ Pendiente
REG-045,TENANT,executions,[DIRECTA],Metadata waiting_for_input ausente en ejecuciones normales,Flow ejecutado sin input adicional,Login > Sidebar: Executions > Abrir detalle > Revisar JSON del resultado,JSON no contiene waiting_for_input en ejecuciones normales (IONF-518),🟡 Medio,⬜ Pendiente
REG-046,TENANT,core-engine / Nodes,[INDIRECTA],Preview de Transformer no conserva datos de otros nodos,Flow con 2+ nodos Transformer,Login > Boards > Abrir flow > Canvas: clic Transformer A preview > clic Transformer B preview,Cada preview muestra exclusivamente su propia configuración (IONF-511),🔴 Crítico,⬜ Pendiente
REG-047,TENANT,boards,[INDIRECTA],Flow complejo end-to-end: Trigger > Transformer > Switch > Store,Flow con nodos encadenados,Login > Boards > Ejecutar flow complejo > Verificar que todos los nodos ejecutan en secuencia,Flow completo ejecuta de principio a fin registrando resultado de cada nodo (cross: IONF-379 IONF-406),🔴 Crítico,⬜ Pendiente
REG-048,TENANT,executions,[INDIRECTA],Historial registra correctamente flujo complejo,Flow ejecutado con éxito,Login > Sidebar: Executions > Verificar ejecución reciente > Abrir detalle > Verificar nodos,Todos los nodos con su status y resultado (cross: IONF-379 IONF-935),🟠 Alto,⬜ Pendiente
REG-049,TENANT,executions,[INDIRECTA],Ejecución falla correctamente cuando nodo falla,Flow con nodo Store con UUID inválido,Login > Boards > Ejecutar flow con Store UUID inválido > Revisar historial,Historial muestra error con nodo fallido identificado y edge de error activado,🟠 Alto,⬜ Pendiente
REG-050,TENANT,connections,[INDIRECTA],Nodo de App Connector en canvas ejecuta correctamente,Flow con nodo de connector activo (ej. Shopify),Login > Boards > Flow con nodo de app connector > Ejecutar > Verificar respuesta de API externa,Nodo ejecuta llamada a API externa exitosamente (cross: IONF-141 IONF-142),🔴 Crítico,⬜ Pendiente
REG-051,TENANT,connections,[INDIRECTA],Token OAuth se refresca automáticamente en ejecución,Flow con nodo OAuth con token por expirar,Login > Boards > Token por expirar > Ejecutar flow con nodo OAuth > Verificar resultado,Token refrescado automáticamente sin interrumpir ejecución (cross: IONF-165 IONF-554),🟠 Alto,⬜ Pendiente
REG-052,TENANT,connections,[INDIRECTA],Módulos de connector se listan sin errores de paginación,Connector con múltiples módulos,Login > Connections > Seleccionar connector > Ver módulos/acciones,Módulos listados con filtros y paginación funcionales (cross: IONF-368),🟡 Medio,⬜ Pendiente
REG-053,TENANT,webhooks,[INDIRECTA],Webhook de connector trigger inicia flow,Connector con webhook y flow activo,Login > Connections > Connector > Webhooks > Copiar URL > Enviar evento externo,Evento activa el flow via webhook del connector (cross: IONF-449 IONF-695),🟠 Alto,⬜ Pendiente
REG-054,TENANT,webhooks,[INDIRECTA],Lista de webhooks muestra URLs correctas,Tenant con múltiples webhooks activos,Login > Sidebar: Webhooks > Ver lista,Webhooks con URLs correctas estados y sin duplicados (cross: IONF-449),🟡 Medio,⬜ Pendiente
REG-055,TENANT,data-store,[INDIRECTA],Nodo Persistent Data Search retorna con filtros,Data Store con múltiples registros y nodo Store Search,Login > Boards > Flow con nodo Persistent Data Search > Configurar filtro > Ejecutar,Solo retorna registros que coinciden con el filtro (cross: IONF-163 IONF-552),🟠 Alto,⬜ Pendiente
REG-056,TENANT,data-store,[INDIRECTA],Data Store aislado entre companies (multi-tenant),Dos companies con Data Stores separados,Login company A > Crear registro > Login company B > Verificar que Data Store B no tiene datos de A,Aislamiento multi-tenant funciona correctamente (cross: IONF-379),🔴 Crítico,⬜ Pendiente
REG-057,TENANT,boards,[INDIRECTA],Flow con webhook trigger completa ejecución,Flow con Webhook trigger activo,Enviar POST al webhook URL > Login > Sidebar: Executions > Verificar ejecución,Flow en historial con status completed y resultado correcto (cross: IONF-786 IONF-449),🔴 Crítico,⬜ Pendiente
REG-058,TENANT,boards,[INDIRECTA],Flow con nodos Data Store no corrompe datos,Flow con nodos Persistent Data Save + Update en secuencia,Login > Boards > Ejecutar flow > Sidebar: Data Store > Verificar registro,Registro con valor final esperado sin solapamiento (cross: IONF-162),🔴 Crítico,⬜ Pendiente
REG-059,ADMIN GATEWAY,admin / company,[INDIRECTA],Marketplace de GRAPPs disponible,GRAPPs configurados en Admin Gateway,Admin Gateway > Apps > Ver lista GRAPPs > Instalar en company de prueba,GRAPPs listados e instalables en companies (cross: IONF-103 IONF-533),🟠 Alto,⬜ Pendiente
REG-060,ADMIN,admin / company,[INDIRECTA],Vista Admin sin scrolls múltiples,Admin con múltiples apps,Login Admin > Admin: Apps > Scrollear > Admin: Developers > Scrollear,Un solo scroll por vista sin múltiples scrollbars (IONF-711),🟡 Medio,⬜ Pendiente
REG-061,ADMIN,admin / company,[INDIRECTA],Actualizar permisos de usuario en company,Usuario existente en company,Admin > Companies > Company > Users > Usuario > Modificar permisos > Guardar,Permisos actualizados y aplicados en próximo login (cross: IONF-763 IONF-764),🟠 Alto,⬜ Pendiente
REG-062,TENANT,executions,[INDIRECTA],Detalle de ejecución muestra logs completos,Ejecución de flow con logs generados,Login > Sidebar: Executions > Seleccionar ejecución > Ver logs de cada nodo,Logs con detalles info/warning/error completos (cross: IONF-798),🟡 Medio,⬜ Pendiente
REG-063,TENANT,executions,[INDIRECTA],Historial filtra por flow específico,Múltiples flows ejecutados,Login > Sidebar: Executions > Filtrar por flow > Verificar resultados,Solo aparecen ejecuciones del flow seleccionado,🟡 Medio,⬜ Pendiente
REG-064,TENANT,auth,[INDIRECTA],Acceso sin permiso READ_BOARD retorna 403,Usuario sin permiso READ_BOARD,Login sin READ_BOARD > Intentar acceder a /workflows,Sistema retorna 403 o redirige a /forbidden (cross: IONF-114),🔴 Crítico,⬜ Pendiente
REG-065,TENANT,auth,[INDIRECTA],Logout destruye la sesión correctamente,Usuario logueado,Login > Navegar > Perfil > Logout > Intentar acceder sin login,Usuario deslogueado token invalidado acceso denegado sin nuevo login (cross: IONF-362),🔴 Crítico,⬜ Pendiente
REG-066,TENANT,core-engine / Nodes,[INDIRECTA],Nodo Simple Decision rutea por then y false,Flow con nodo Simple Decision configurado,Login > Boards > Flow con nodo Condition > is_equal "active" > Ejecutar "active" then > Ejecutar "inactive" false,Ruteo correcto para ambos valores (cross: IONF-379),🔴 Crítico,⬜ Pendiente
REG-067,TENANT,core-engine / Nodes,[INDIRECTA],Iterator procesa cada elemento individualmente,Flow con nodo Iterator configurado,Login > Boards > Flow con Iterator > Input: array 5 elementos > Ejecutar > Verificar 5 ejecuciones,Iterator emite cada item como output separado (cross: IONF-404),🔴 Crítico,⬜ Pendiente
REG-068,TENANT,boards,[INDIRECTA],Flow de una company no visible para otra,Dos companies con flows propios,Login company A > Boards > Lista > Login company B > Boards > Lista,Cada company ve solo sus propios flows sin filtraciones cross-tenant,🔴 Crítico,⬜ Pendiente
REG-069,KC,auth,[BASELINE],Login con credenciales válidas,Usuario registrado en Keycloak,Navegar a /login > Login with SSO > Keycloak: email y password válidos > Callback > Seleccionar company,Usuario accede correctamente. Sesión iniciada y token JWT válido,🔴 Crítico,⬜ Pendiente
REG-070,KC,auth,[BASELINE],Login con credenciales inválidas retorna error,Credenciales incorrectas,Navegar a /login > Login with SSO > Keycloak: password incorrecto,Keycloak retorna error. La app no permite acceso,🔴 Crítico,⬜ Pendiente
REG-071,TENANT,boards,[BASELINE],Agregar y conectar nodos en el canvas,Flow vacío en el canvas,Login > Boards > Abrir flow vacío > Canvas: agregar nodo Transformer > nodo Condition > Conectar por edge output-input,Nodos en canvas conectados con edge y conexión persistida al guardar,🔴 Crítico,⬜ Pendiente
REG-072,TENANT,boards,[BASELINE],Eliminar un nodo del canvas,Flow con al menos 2 nodos,Login > Boards > Abrir flow > Canvas: clic derecho en nodo > Delete > Guardar,Nodo eliminado edges conectados desaparecen demás nodos persisten,🔴 Crítico,⬜ Pendiente
REG-073,TENANT,executions,[BASELINE],Historial de ejecuciones lista correctamente,Tenant con flows ejecutados,Login > Sidebar: Executions > Ver lista,Lista carga con flow name status y fecha. Paginación funcional,🟠 Alto,⬜ Pendiente
REG-074,TENANT,executions,[BASELINE],Detalle de ejecución disponible,Ejecución completada,Login > Sidebar: Executions > Clic en ejecución > Ver detalle,Detalle con status de cada nodo resultado y logs,🟠 Alto,⬜ Pendiente
REG-075,TENANT,connections,[BASELINE],Lista de connections carga correctamente,Tenant con connections configuradas,Login > Sidebar: Connections > Ver lista,Lista carga con connectors filtros y paginación funcionales,🟠 Alto,⬜ Pendiente
REG-076,TENANT,webhooks,[BASELINE],Lista de webhooks muestra estado,Tenant con webhooks configurados,Login > Sidebar: Webhooks > Ver lista,Webhooks con URL estado y acciones disponibles,🟠 Alto,⬜ Pendiente
REG-077,TENANT,webhooks,[BASELINE],Activar/desactivar webhook,Webhook existente,Login > Sidebar: Webhooks > Seleccionar webhook > Toggle Enable/Disable,Estado del webhook cambia y UI lo refleja sin recargar,🟠 Alto,⬜ Pendiente
REG-078,TENANT,pdf-templates,[BASELINE],Crear un template de PDF,Usuario con permisos de templates,Login > Sidebar: Templates (PDF) > New Template > Agregar elementos básicos > Guardar,Template creado y disponible en lista (IONF-820 integró nodo PDF),🟠 Alto,⬜ Pendiente
REG-079,TENANT,pdf-templates,[BASELINE],Editar un template de PDF,Template existente,Login > Sidebar: Templates > Seleccionar template > Editar > Guardar,Cambios guardados y template actualizado accesible,🟠 Alto,⬜ Pendiente
REG-080,TENANT,pdf-templates,[BASELINE],Nodo de PDF en canvas genera un archivo PDF,Flow con nodo PDF y template configurado,Login > Boards > Flow con nodo PDF > Ejecutar > Verificar que se genera el PDF,Nodo genera PDF con contenido del template (IONF-820),🟠 Alto,⬜ Pendiente
REG-081,ADMIN,billing,[BASELINE],Suscripción activa permite acceso completo,Company con suscripción activa,Login con company activa > Navegar a Boards Connections Executions,Todas las secciones accesibles sin restricciones de suscripción,🟠 Alto,⬜ Pendiente
REG-082,ADMIN,billing,[BASELINE],Company sin suscripción tiene acceso limitado,Company con suscripción inactiva,Login con company sin suscripción > Intentar funcionalidades premium,Acceso limitado con mensaje de renovación. Funcionalidades premium bloqueadas,🟠 Alto,⬜ Pendiente
