ID,Módulo,AC,Tipo,Caso de Test,Precondición,Pasos,Resultado Esperado,Prioridad,Automatizable,Estado
TC-011,Integrations,AC-2,Edge Case,Instalar grapp con payload mínimo (solo service_id y name),Token válido,"1. POST /integrations con body mínimo: {service_id, name} | 2. Verificar response","201 Created — Integración creada, configuración queda {}. Retorna integration_id + gateway_key",Alto,Sí,Success
TC-012,Connections,AC-1,Edge Case,Listar connections de account sin connections,Account existente sin connections,1. GET /connections para account vacío | 2. Verificar response,"200 OK — Lista vacía [], sin error. Paginación con total=0",Alto,Sí,Success
TC-013,Connections,AC-1,Edge Case,Actualizar connection con solo campo name,Connection existente,1. PUT /connections/{id} con body: {name: only_name} | 2. Verificar en BD,"200 OK — Solo name cambiado. service_id, data, connection, metadata preservados",Alto,Sí,Success
TC-014,Connections,AC-5,Edge Case,Crear connection con JSON grande en data y metadata,Token válido,1. POST /connections con data de ~50KB y metadata complejo (anidado) | 2. Verificar creación y lectura,"201 Created — Datos preservados con fidelidad JSON (tipos, anidamiento)",Medio,Sí,Success
TC-015,Connections,AC-5,Edge Case,Verificar que data y connection preservan tipos JSON,Token válido,"1. Crear connection con data: {count: 42, active: true, items: [1,2]} | 2. GET connection | 3. Verificar tipos","200 OK — Tipos JSON preservados exactamente (numbers, booleans, arrays). No hay casteo a string",Alto,Sí,Success
TC-016,Connections,AC-1,Negativo,Crear connection sin service_id (required),Token válido,1. POST /connections con body sin service_id,422 Unprocessable Entity — Error de validación indicando service_id requerido,Crítico,Sí,Success
TC-017,Connections,AC-1,Negativo,Crear connection sin name (required),Token válido,1. POST /connections con body sin name,422 Unprocessable Entity — Error de validación indicando name requerido,Crítico,Sí,Success
TC-018,Connections,AC-4,Negativo,Acceder con scope incorrecto/insuficiente,Token con solo app:connection-read,1. Intentar POST /connections (requiere app:connection-create) con token de solo lectura,403 Forbidden — Scope insuficiente. No se crea ningún registro,Crítico,Sí,Success
TC-019,Connections,AC-6,Negativo,Acceder a connections de account inexistente,"Token válido, remote_id inexistente",1. GET /api/2.0/app/accounts/INVALID_REMOTE_ID/connections,404 Not Found — Account no encontrado. Sin stack trace,Alto,Sí,Success
TC-020,Connections,AC-1,Negativo,Operar sobre connection inexistente,"Token válido, connectionId inexistente",1. GET /connections/99999999 | 2. PUT /connections/99999999 | 3. DELETE /connections/99999999,404 Not Found para cada operación. Sin stack trace ni crash,Alto,Sí,Success
TC-021,Integrations,AC-2,Negativo,Instalar integración sin service_id,Token válido,1. POST /integrations con body: {name: test} (sin service_id),422 Unprocessable Entity — Validación falla,Crítico,Sí,Success
TC-022,Connections,AC-3,Negativo,Mass assignment — enviar campos protegidos,Token válido,"1. POST /connections con body incluyendo: {id: 1, account_id: 999, created_at: ...} además de campos válidos | 2. Verificar en BD","Campos protegidos IGNORADOS. Connection creada con ID auto-generado, account del binding de ruta",Crítico,Sí,Success
TC-023,Connections,AC-4,Negativo,Acceso sin token de autenticación,Sin auth header,1. GET /connections sin header Authorization,401 Unauthorized — Sin acceso,Crítico,Sí,Success
TC-024,Integrations,AC-6,Negativo,Instalar integración — app viene del token no del body,Token M2M de App A,"1. POST /integrations con body: {service_id, name, app_id: APP_B_ID} | 2. Verificar en BD qué app quedó asociada","Integration creada con app del TOKEN (App A), NO con app_id del body. Campo app_id del body IGNORADO",Crítico,Sí,Success
REG-001,Connections (Tenant),N/A,Regresión,CRUD de connections vía tenant routes sigue funcionando,Endpoints tenant existentes,1. GET /1.0/tenants/{tenant}/app-connections | 2. POST con datos válidos | 3. Verificar operación normal,Endpoints tenant de connections siguen retornando 200 OK con datos correctos,Crítico,Sí,Success
REG-002,Integrations (Webcomponent),N/A,Regresión,Endpoints webcomponent integrations siguen funcionando,Endpoints webcomponent existentes,1. GET /2.0/webcomponent/integrations | 2. Verificar respuesta normal,Endpoints webcomponent de integrations retornan datos correctos sin error,Crítico,Sí,Success
REG-003,Integrations (App API),N/A,Regresión,Endpoints existentes app integrations (GET/action/update/delete),Endpoints app existentes,1. GET /2.0/app/integrations | 2. Verificar respuesta normal,Endpoints app existentes de integrations siguen funcionando,Alto,Sí,Success
REG-004,Auth (OAuth),N/A,Regresión,Generación de tokens con scopes existentes no se rompió,OAuth clients existentes,1. Generar token con scopes pre-existentes | 2. Verificar que funciona,Token generado correctamente. Nuevos scopes no interfieren con los existentes,Alto,Sí,Success
REG-005,Connections (Runtime Go),N/A,Regresión,Go runtime puede leer connections creadas vía nuevos endpoints,Connection creada por TC-003,1. Crear connection vía nuevo endpoint | 2. Verificar que Go runtime puede usar las credenciales (columna connection),Go puede leer y desencriptar la columna connection para autenticar el grapp,Crítico,No,Success
REG-006,Integrations (Legacy),N/A,Regresión,Endpoints legacy de integraciones (v1.0) siguen funcionando,Endpoints legacy existentes,1. POST /1.0/integrations con user_id | 2. Verificar que la validación relajada de user_id no rompe el flujo existente,Integrations legacy con user_id siguen creándose correctamente,Alto,Sí,Success
