ID,SIDE,MODULE,TYPE,TEST_CASE,PRECONDITION,STEPS,EXPECTED_RESULT,PRIORITY,RISK,TICKET,STATUS,ASSIGNED,COMMENTS,OBSERVATION
SM-011,TENANT,PDF Templates,BASE,Crear template PDF nuevo,Usuario con permiso READ_PDF_TEMPLATE,"[Tenant] Login > Sidebar: PDF Templates > New Template > Asignar nombre > Agregar elementos (Text e Image) > Guardar","El template se crea con los elementos agregados. Se guarda sin errores",🟠 Alto,🔴 Impactado,,⬜ Pendiente,,,
SM-012,TENANT,PDF Templates,BASE,Editar template PDF y guardar cambios,Template existente,"[Tenant] Login > Sidebar: PDF Templates > Abrir template existente > Modificar un elemento > Guardar > Re-abrir > Verificar cambios","Los cambios persisten después de guardar y re-abrir. No se pierden ediciones",🟠 Alto,🔴 Impactado,,⬜ Pendiente,,,
SM-R-001,KC,Auth (Registration),RELEASE,Registro de compañía funciona post-refactor,Usuario no registrado,"Navigate: dev-app.ionflow.io > Click Sign Up > Completar formulario registro (nombre email password company) > Submit > Verificar redirección","El registro se completa sin errores. El usuario es redirigido correctamente al dashboard o selección de company",🟠 Alto,🔴 Impactado,IONF-1075,⬜ Pendiente,,,"Ejecutar con precaución — crea datos en staging"
SM-R-002,TENANT,Boards > Commit,RELEASE,No false unsaved alert post-commit,Board con commit exitoso reciente,"[Tenant] Login > Sidebar: Boards > Abrir board > Hacer cambio > Save > Commit > Salir del board > Re-ingresar al mismo board","Al re-ingresar NO aparece alerta de cambios sin guardar. La vista carga limpia",🟠 Alto,🔴 Impactado,IONF-1121,⬜ Pendiente,,,
SM-R-003,TENANT,Boards > Simple Decision,RELEASE,Simple Decision compara numéricos correctamente,Flow con nodo Simple Decision,"[Tenant] Login > Sidebar: Boards > Board con Simple Decision > Configurar condición: valor > 10 > Ejecutar Test con input numérico (ej: 5) > Verificar rama tomada","La comparación se realiza como números (5 > 10 = false → toma rama correcta). NO compara como strings",🔴 Crítico,🔴 Impactado,IONF-1128,⬜ Pendiente,,,
SM-R-004,TENANT,Boards > Scheduler,RELEASE,Scheduler status completed (no error),Board con Scheduler activo en Production,"[Tenant] Login > Sidebar: Boards > Board con Scheduler activo en Production > Execution History > Verificar status de última ejecución","El status de la ejecución es completed NO error. El flow se ejecutó correctamente",🔴 Crítico,🔴 Impactado,IONF-1127,⬜ Pendiente,,,
SM-R-005,TENANT,Boards > Scheduler,RELEASE,Scheduler hora correcta UTC/Local,Board con Scheduler configurado,"[Tenant] Login > Sidebar: Boards > Board con Scheduler > Verificar hora de próxima ejecución > Comparar con hora local del usuario","La hora configurada en el Scheduler corresponde a la hora real esperada (sin desfase UTC/Local)",🔴 Crítico,🔴 Impactado,IONF-1007,⬜ Pendiente,,,
SM-R-006,TENANT,Execution History,RELEASE,Logs de ejecución sin desfase +4h,Ejecución reciente completada,"[Tenant] Login > Sidebar: Execution History > Abrir detalle de ejecución reciente > Verificar timestamps de los logs > Comparar con hora actual","Los timestamps de los logs coinciden con la hora real de ejecución. NO hay desfase de +4 horas",🔴 Crítico,🔴 Impactado,IONF-1168,⬜ Pendiente,,,
SM-R-007,TENANT,Connections (Integrations),RELEASE,Reauthorize API Key no duplica conexión,Conexión existente con API Key,"[Tenant] Login > Sidebar: Connections (Integrations) > Seleccionar conexión con API Key > Reauthorize > Ingresar nueva key > Guardar > Verificar lista","La conexión se actualiza con la nueva key. NO se crea una segunda conexión duplicada",🔴 Crítico,🔴 Impactado,IONF-1114,⬜ Pendiente,,,
SM-R-008,TENANT,PDF Templates,RELEASE,Escape con cambios → confirmación,Template con cambios no guardados,"[Tenant] Login > Sidebar: PDF Templates > Abrir template > Hacer cambio > Presionar Escape","Se muestra modal de confirmación ¿Descartar cambios? antes de cerrar. Los cambios NO se pierden silenciosamente",🔴 Crítico,🔴 Impactado,IONF-1126,⬜ Pendiente,,,
SM-R-009,TENANT,PDF Templates,RELEASE,Load Base PDF grande → error controlado,Archivo PDF > límite de tamaño,"[Tenant] Login > Sidebar: PDF Templates > New Template > Load Base PDF > Seleccionar archivo > límite de tamaño","Mensaje de error claro indicando el límite. La vista NO crashea ni se queda en spinner",🔴 Crítico,🔴 Impactado,IONF-1116,⬜ Pendiente,,,
SM-R-010,TENANT,Webhooks,RELEASE,Webhook público accesible sin CORS,Flow con webhook trigger en Production,"Obtener URL de webhook público de un flow en Production > Enviar POST request desde origen externo (curl/Postman) > Verificar respuesta","La request es aceptada sin error CORS. El flow se dispara correctamente. Status 200 en la respuesta",🟠 Alto,🔴 Impactado,IONF-1169,⬜ Pendiente,,,
SM-R-011,TENANT,Billing,RELEASE,Confirmación de cobro antes de scraping,Plataforma de scraping configurada,"[Tenant] Acceder a funcionalidad de scraping de plataforma > Iniciar primer scraping > Verificar que aparece modal de confirmación de cobro","Se muestra modal de confirmación con costo aproximado antes de ejecutar el scraping. No se cobra sin confirmación",🔴 Crítico,🔴 Impactado,IONF-1098,⬜ Pendiente,,,
SM-R-012,TENANT,Boards > Flow Pilot,RELEASE,Flow Pilot chat funcional con token tracking,Credenciales LLM configuradas,"[Tenant] Login > Sidebar: Boards > Abrir board > Nodo Code > Ask FlowPilot > Enviar prompt > Verificar respuesta y tracking","El chat de Flow Pilot responde correctamente. El uso de tokens se registra (visible en la UI si aplica)",🟠 Alto,🔴 Impactado,IONF-1020,⬜ Pendiente,,,
